,Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
20,Visit the boAt Store,boAt Bassheads 225 in Ear Wired Earphones with Mic(Black),699,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/BassHeads-225-Super-Extra-Headphones/dp/B01M9C51T9/ref=sr_1_21_sspa?keywords=earphones&qid=1653389827&sr=8-21-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyTFpZVjRYMFk0U04xJmVuY3J5cHRlZElkPUEwNDY2MDU0MlRIMFdJWFJEMVo3RiZlbmNyeXB0ZWRBZElkPUEwODUzMTEzMUtRT0ZFT0xJSElFVyZ3aWRnZXROYW1lPXNwX2J0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=
21,Brand: boAt,"Boat Rockerz 330 with ASAP Charge, Enhanced Bass, Metal Control Board, Ipx5, Type C Port Voice Assistant Bluetooth Wireless in Ear Earphones with Mic (Active Black)","1,499",7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/boAt-Rockerz-330-Bluetooth-Assistant/dp/B092X94QNQ/ref=sr_1_22_sspa?keywords=earphones&qid=1653389827&sr=8-22-spons&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyTFpZVjRYMFk0U04xJmVuY3J5cHRlZElkPUEwNDY2MDU0MlRIMFdJWFJEMVo3RiZlbmNyeXB0ZWRBZElkPUEwNjkyOTc1RlJKWUg2UE8yRDM4JndpZGdldE5hbWU9c3BfYnRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ&th=1
22,Visit the boAt Store,"Boat Rockerz 255 Pro+ V5.0 Bluetooth Wireless in Ear Earphones with Upto 40 Hours Playback, ASAP Charge, Ipx7, Dual Pairing with Mic (Navy Blue)","1,399",7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TTXNZ4Y/ref=sr_1_17_sspa?keywords=earphones&qid=1653389846&sr=8-17-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyWElTWUdDUDFZOVNPJmVuY3J5cHRlZElkPUEwOTMxNTc2M0pPUVkzVklVMktIMyZlbmNyeXB0ZWRBZElkPUEwMjYwMjYyVkc0MTZQRzBIMElCJndpZGdldE5hbWU9c3BfYXRmX25leHQmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl
23,Visit the PTron Store,"pTron Tangent Urban ENC Wireless Bluetooth 5.3 Headphones with 60Hrs Playtime, Low Latency Gaming, Punchy Bass, HD Mic, Dual Device Pairing, Type-C Charging, IPX4 & Voice Assistance Support (Black)",-,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/Wireless-Bluetooth-Headphones-Playtime-Assistance/dp/B09XBBNTR2/ref=sr_1_18_sspa?keywords=earphones&qid=1653389846&sr=8-18-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyWElTWUdDUDFZOVNPJmVuY3J5cHRlZElkPUEwOTMxNTc2M0pPUVkzVklVMktIMyZlbmNyeXB0ZWRBZElkPUEwODg0NjUyMjU1Q0dQNE0xSVo4TCZ3aWRnZXROYW1lPXNwX2F0Zl9uZXh0JmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==
24,Visit the boAt Store,boAt Bassheads 102 in Ear Wired Earphones with Mic(Jazzy Blue),399,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/BassHeads-102-Earphones-Multi-Function-Microphone/dp/B07S6NT9V7/ref=sr_1_19?keywords=earphones&qid=1653389846&sr=8-19
25,Brand: realme,realme Buds Classic Wired in Ear Earphones with Mic (Black),399,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/realme-Classic-Wired-Earphones-Microphone/dp/B08G28Z33M/ref=sr_1_20?keywords=earphones&qid=1653389846&sr=8-20
26,Visit the JBL Store,JBL C50HI Wired in Ear Earphones with Mic (Black),449,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/JBL-C50HI-Ear-Headphones-Black/dp/B07JQKQ91F/ref=sr_1_21?keywords=earphones&qid=1653389846&sr=8-21
27,Visit the JBL Store,"JBL Endurance Run, Sports in Ear Wired Earphones with Mic, Sweatproof, Flexsoft eartips, Magnetic Earbuds, Fliphook & TwistLock Technology with Voice Assistant Support for Mobiles (Black)",899,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/JBL-Sweat-Proof-Headphones-One-Button-Microphone/dp/B07CFDXLFC/ref=sr_1_17?keywords=earphones&qid=1653389846&sr=8-17
28,Visit the boAt Store,boAt Bassheads 225 in Ear Wired Earphones with Mic(Black),699,7 Days Replacement,"Friday, May 27",In stock.,https://www.amazon.in/BassHeads-225-Super-Extra-Headphones/dp/B01M9C51T9/ref=sr_1_18?keywords=earphones&qid=1653389846&sr=8-18
29,Visit the Philips Audio Store,Philips Audio SHE1505 Wired in Ear Earphones with Mic (Black),299,7 Days Replacement,May 26 - 31,,https://www.amazon.in/Philips-SHE1505BK-94-Upbeat-Earphones/dp/B07MZQ5F8S/ref=sr_1_19?keywords=earphones&qid=1653389846&sr=8-19
